# KW court codes. Source: annex 1 to Dz.U. 2016 poz. 312 as replaced by Dz.U. 2026 poz. 740 (in force 2026-07-01),
# plus historical codes from earlier annex versions. Columns: code<TAB>last_valid_on (empty = current)<TAB>name
WL1R		Sąd Rejonowy w Radziejowie
WL1W		Sąd Rejonowy we Włocławku
WL1Y		Sąd Rejonowy w Rypinie
WR1E		Sąd Rejonowy w Oleśnicy
WR1K		Sąd Rejonowy dla Wrocławia-Krzyków we Wrocławiu
WR1L		Sąd Rejonowy w Wołowie
WR1M		Sąd Rejonowy w Miliczu
WR1O		Sąd Rejonowy w Oławie
WR1S		Sąd Rejonowy w Środzie Śląskiej
WR1T		Sąd Rejonowy w Strzelinie
WR1W		Sąd Rejonowy w Trzebnicy
ZA1B		Sąd Rejonowy w Biłgoraju
ZA1H		Sąd Rejonowy w Hrubieszowie
ZA1J		Sąd Rejonowy w Janowie Lubelskim
ZA1K		Sąd Rejonowy w Krasnymstawie
ZA1T		Sąd Rejonowy w Tomaszowie Lubelskim
ZA1Z		Sąd Rejonowy w Zamościu
ZG1E		Sąd Rejonowy w Zielonej Górze
ZG1G		Sąd Rejonowy w Żaganiu
ZG1K		Sąd Rejonowy w Krośnie Odrzańskim
ZG1N		Sąd Rejonowy w Nowej Soli
ZG1R		Sąd Rejonowy w Żarach
ZG1S		Sąd Rejonowy w Świebodzinie
ZG1W		Sąd Rejonowy we Wschowie
ZG2K		Sąd Rejonowy w Krośnie Odrzańskim – wydział zamiejscowy z siedzibą w Gubinie
ZG2S		Sąd Rejonowy w Świebodzinie – wydział zamiejscowy z siedzibą w Sulechowie
